 Time, $\theta_1$, $\theta_2$, Energy violation
  1.7031250000000000E+01, -5.6079074311401056E-01,  1.0491014888254167E+00,  1.1102230246251565E-15
  1.7035156250000000E+01, -5.5205006412857405E-01,  1.0418445390920095E+00,  1.1102230246251565E-15
  1.7039062500000000E+01, -5.4320619575467344E-01,  1.0343835066079610E+00,  8.8817841970012523E-16
  1.7042968750000000E+01, -5.3425707372420128E-01,  1.0267154276412200E+00,  1.1102230246251565E-15
  1.7046875000000000E+01, -5.2520051311080007E-01,  1.0188372203585359E+00,  6.6613381477509392E-16
  1.7050781250000000E+01, -5.1603420309287440E-01,  1.0107456766018430E+00,  6.6613381477509392E-16
  1.7054687500000000E+01, -5.0675570139543880E-01,  1.0024374531676248E+00,  6.6613381477509392E-16
  1.7058593750000000E+01, -4.9736242839012812E-01,  9.9390906256288825E-01,  6.6613381477509392E-16
  1.7062500000000000E+01, -4.8785166083249243E-01,  9.8515686321092188E-01,  6.6613381477509392E-16
  1.7066406250000000E+01, -4.7822052521581193E-01,  9.7617704907995495E-01,  8.8817841970012523E-16
  1.7070312500000000E+01, -4.6846599072121425E-01,  9.6696563870833496E-01,  8.8817841970012523E-16
  1.7074218750000000E+01, -4.5858486174499391E-01,  9.5751846360108162E-01,  1.1102230246251565E-15
  1.7078125000000000E+01, -4.4857376998590170E-01,  9.4783115597490841E-01,  1.1102230246251565E-15
  1.7082031250000000E+01, -4.3842916607801619E-01,  9.3789913583233131E-01,  8.8817841970012523E-16
  1.7085937500000000E+01, -4.2814731075891965E-01,  9.2771759735070636E-01,  1.1102230246251565E-15
  1.7089843750000000E+01, -4.1772426556864517E-01,  9.1728149457945940E-01,  1.1102230246251565E-15
  1.7093750000000000E+01, -4.0715588308269973E-01,  9.0658552644902313E-01,  1.1102230246251565E-15
  1.7097656250000000E+01, -3.9643779669299606E-01,  8.9562412110889433E-01,  8.8817841970012523E-16
  1.7101562500000000E+01, -3.8556540996448085E-01,  8.8439141963079226E-01,  6.6613381477509392E-16
  1.7105468750000000E+01, -3.7453388561357442E-01,  8.7288125913743042E-01,  6.6613381477509392E-16
  1.7109375000000000E+01, -3.6333813417842259E-01,  8.6108715544955217E-01,  6.6613381477509392E-16
  1.7113281250000000E+01, -3.5197280248190232E-01,  8.4900228538569478E-01,  6.6613381477509392E-16
  1.7117187500000000E+01, -3.4043226202819798E-01,  8.3661946890323347E-01,  6.6613381477509392E-16
  1.7121093750000000E+01, -3.2871059752493853E-01,  8.2393115133889772E-01,  8.8817841970012523E-16
  1.7125000000000000E+01, -3.1680159578830613E-01,  8.1092938609623599E-01,  6.6613381477509392E-16
  1.7128906250000000E+01, -3.0469873537187231E-01,  7.9760581824153787E-01,  1.1102230246251565E-15
  1.7132812500000000E+01, -2.9239517736574128E-01,  7.8395166961485030E-01,  6.6613381477509392E-16
  1.7136718750000000E+01, -2.7988375794648973E-01,  7.6995772624674386E-01,  8.8817841970012523E-16
  1.7140625000000000E+01, -2.6715698342721633E-01,  7.5561432910393189E-01,  8.8817841970012523E-16
  1.7144531250000000E+01, -2.5420702876898726E-01,  7.4091136947922454E-01,  8.8817841970012523E-16
  1.7148437500000000E+01, -2.4102574077983116E-01,  7.2583829070724082E-01,  8.8817841970012523E-16
  1.7152343750000000E+01, -2.2760464755647808E-01,  7.1038409834264205E-01,  6.6613381477509392E-16
  1.7156250000000000E+01, -2.1393497612986301E-01,  6.9453738150010724E-01,  6.6613381477509392E-16
  1.7160156250000000E+01, -2.0000768077139333E-01,  6.7828634874372751E-01,  6.6613381477509392E-16
  1.7164062500000000E+01, -1.8581348501603068E-01,  6.6161888274629910E-01,  8.8817841970012523E-16
  1.7167968750000000E+01, -1.7134294117060930E-01,  6.4452261893091589E-01,  6.6613381477509392E-16
  1.7171875000000000E+01, -1.5658651190530107E-01,  6.2698505446424047E-01,  6.6613381477509392E-16
  1.7175781250000000E+01, -1.4153467946396686E-01,  6.0899369528150393E-01,  6.6613381477509392E-16
  1.7179687500000000E+01, -1.2617808904455083E-01,  5.9053625024585277E-01,  6.6613381477509392E-16
  1.7183593750000000E+01, -1.1050773392709975E-01,  5.7160088298761202E-01,  6.6613381477509392E-16
  1.7187500000000000E+01, -9.4515190842714078E-02,  5.5217653326415284E-01,  8.8817841970012523E-16
  1.7191406250000000E+01, -7.8192914679761097E-02,  5.3225332054818730E-01,  6.6613381477509392E-16
  1.7195312500000000E+01, -6.1534601602083211E-02,  5.1182304255779221E-01,  8.8817841970012523E-16
  1.7199218750000000E+01, -4.4535628556819445E-02,  4.9087977995711068E-01,  4.4408920985006262E-16
  1.7203125000000000E+01, -2.7193574370109046E-02,  4.6942061463567059E-01,  6.6613381477509392E-16
  1.7207031250000000E+01, -9.5088224218606784E-03,  4.4744646177403957E-01,  4.4408920985006262E-16
  1.7210937500000000E+01,  8.5147635430396565E-03,  4.2496300420396299E-01,  6.6613381477509392E-16
  1.7214843750000000E+01,  2.6869111224212493E-02,  4.0198170045081333E-01,  6.6613381477509392E-16
  1.7218750000000000E+01,  4.5541196303451652E-02,  3.7852081507636870E-01,  6.6613381477509392E-16
  1.7222656250000000E+01,  6.4512340345855249E-02,  3.5460639270454947E-01,  4.4408920985006262E-16
  1.7226562500000000E+01,  8.3757626944564734E-02,  3.3027306883307750E-01,  6.6613381477509392E-16
  1.7230468750000000E+01,  1.0324552947192420E-01,  3.0556458745601567E-01,  1.1102230246251565E-15
  1.7234375000000000E+01,  1.2293785019670365E-01,  2.8053388647805000E-01,  1.1102230246251565E-15
  1.7238281250000000E+01,  1.4279005991084426E-01,  2.5524262657982566E-01,  6.6613381477509392E-16
  1.7242187500000000E+01,  1.6275209455578432E-01,  2.2976008463627789E-01,  8.8817841970012523E-16
  1.7246093750000000E+01,  1.8276961076574588E-01,  2.0416140885784334E-01,  6.6613381477509392E-16
  1.7250000000000000E+01,  2.0278563348877437E-01,  1.7852532872853824E-01,  6.6613381477509392E-16
  1.7253906250000000E+01,  2.2274246099797482E-01,  1.5293150747252687E-01,  6.6613381477509392E-16
  1.7257812500000000E+01,  2.4258364399257637E-01,  1.2745779257810486E-01,  4.4408920985006262E-16
  1.7261718750000000E+01,  2.6225584078203684E-01,  1.0217764034243686E-01,  6.6613381477509392E-16
  1.7265625000000000E+01,  2.8171037442853536E-01,  7.7157956941542843E-02,  1.1102230246251565E-15
  1.7269531250000000E+01,  3.0090437274424259E-01,  5.2457521614985389E-02,  6.6613381477509392E-16
  1.7273437500000000E+01,  3.1980144197414351E-01,  2.8126059884433223E-02,  8.8817841970012523E-16
  1.7277343750000000E+01,  3.3837189167295717E-01,  4.2039416995570088E-03,  4.4408920985006262E-16
  1.7281250000000000E+01,  3.5659257808825573E-01, -1.9277589966118676E-02,  6.6613381477509392E-16
  1.7285156250000000E+01,  3.7444646045923646E-01, -4.2295792154343870E-02,  4.4408920985006262E-16
  1.7289062500000000E+01,  3.9192197044437249E-01, -6.4835536546989106E-02,  6.6613381477509392E-16
  1.7292968750000000E+01,  4.0901228521160321E-01, -8.6888291908128468E-02,  6.6613381477509392E-16
  1.7296875000000000E+01,  4.2571457658188516E-01, -1.0845107509921045E-01,  4.4408920985006262E-16
  1.7300781250000000E+01,  4.4202928800342473E-01, -1.2952544256522697E-01,  6.6613381477509392E-16
  1.7304687500000000E+01,  4.5795947205589549E-01, -1.5011656753503955E-01,  6.6613381477509392E-16
  1.7308593750000000E+01,  4.7351020567378715E-01, -1.7023242654927331E-01,  6.6613381477509392E-16
  1.7312500000000000E+01,  4.8868808889067750E-01, -1.8988310308194442E-01,  6.6613381477509392E-16
  1.7316406250000000E+01,  5.0350082531228979E-01, -2.0908020548254780E-01,  2.2204460492503131E-16
  1.7320312500000000E+01,  5.1795687799684864E-01, -2.2783639020538821E-01,  6.6613381477509392E-16
  1.7324218750000000E+01,  5.3206519214511749E-01, -2.4616497817309899E-01,  6.6613381477509392E-16
  1.7328125000000000E+01,  5.4583497525388003E-01, -2.6407965112511861E-01,  6.6613381477509392E-16
  1.7332031250000000E+01,  5.5927552559056404E-01, -2.8159421512574212E-01,  6.6613381477509392E-16
  1.7335937500000000E+01,  5.7239610058464596E-01, -2.9872241946639194E-01,  4.4408920985006262E-16
